Date,Page,Pageviews,Users,Sessions,Bounce Rate,Average Session Duration
2023-08-01,/homepage,1250,950,1100,45.0%,00:05:30
2023-08-01,/products,850,650,750,42.5%,00:06:15
2023-08-01,/about,400,300,350,41.0%,00:06:45
2023-08-02,/homepage,1325,975,1105,44.2%,00:05:50
2023-08-02,/products,875,660,760,40.0%,00:07:00
2023-08-02,/contact,475,355,395,38.8%,00:07:30
2023-08-03,/homepage,1380,1000,1120,37.5%,00:08:00
2023-08-03,/products,900,680,780,39.5%,00:07:10
2023-08-03,/blog,520,390,430,43.2%,00:06:30
2023-08-04,/homepage,1305,965,1085,42.0%,00:06:50
2023-08-04,/products,860,650,750,38.2%,00:07:45
2023-08-04,/about,410,305,350,37.0%,00:08:15
2023-08-05,/homepage,1435,1055,1175,40.2%,00:07:20
2023-08-05,/products,935,710,800,42.8%,00:06:40
2023-08-05,/contact,550,415,460,41.5%,00:07:05
2023-08-06,/homepage,1525,1100,1225,38.5%,00:07:55
2023-08-06,/products,990,750,850,37.2%,00:08:25
2023-08-06,/blog,580,435,480,39.0%,00:07:40
2023-08-07,/homepage,1575,1130,1260,41.8%,00:06:55
2023-08-07,/products,1020,770,875,40.5%,00:07:15
2023-08-7,/about,480,360,400,37.8%,00:08:10
2023-08-08,/homepage,1450,1055,1170,36.5%,00:08:40
2023-08-08,/products,940,710,800,39.8%,00:07:50
2023-08-08,/contact,550,415,460,41.2%,00:07:00
2023-08-09,/homepage,1475,1080,1190,40.2%,00:07:25
2023-08-09,/products,960,725,820,37.5%,00:08:30
2023-08-09,/blog,560,420,465,36.0%,00:08:55
2023-08-10,/homepage,1600,1150,1270,38.2%,00:07:45
2023-08-10,/products,1040,790,900,40.0%,00:07:10
2023-08-10,/about,490,370,410,39.5%,00:07:35
2023-08-11,/homepage,1625,1175,1295,36.8%,00:08:45
